time,vertical
15.021,-3.45E-02
15.054,-2.00E-02
15.088,-5.20E-03
15.122,9.19E-03
15.156,2.34E-02
15.189,3.71E-02
15.223,5.00E-02
15.257,6.21E-02
15.291,7.34E-02
15.324,8.32E-02
15.358,9.15E-02
15.392,9.85E-02
15.426,0.104
15.459,0.107
15.493,0.109
15.527,0.109
15.561,0.107
15.594,0.103
15.628,9.82E-02
15.662,9.13E-02
15.696,8.27E-02
15.729,7.31E-02
15.763,6.15E-02
15.797,4.92E-02
15.831,3.58E-02
15.865,2.21E-02
15.898,8.27E-03
15.932,-6.64E-03
15.966,-2.12E-02
16,-3.46E-02
16.033,-4.80E-02
16.067,-6.09E-02
16.101,-7.29E-02
16.135,-8.27E-02
16.168,-9.14E-02
16.202,-9.86E-02
16.236,-0.103
16.27,-0.106
16.303,-0.107
16.337,-0.107
16.371,-0.105
16.405,-0.101
16.438,-9.52E-02
16.472,-8.78E-02
16.506,-7.90E-02
16.54,-6.90E-02
16.573,-5.73E-02
16.607,-4.47E-02
16.641,-3.27E-02
16.675,-2.00E-02
16.708,-6.85E-03
16.742,6.81E-03
16.776,2.07E-02
16.81,3.30E-02
16.843,4.49E-02
16.877,5.61E-02
16.911,6.58E-02
16.945,7.50E-02
16.978,8.28E-02
17.012,8.91E-02
17.046,9.45E-02
17.08,9.82E-02
17.113,0.1
17.147,0.101
17.181,9.93E-02
17.215,9.62E-02
17.248,9.17E-02
17.282,8.60E-02
17.316,7.86E-02
17.35,7.01E-02
17.383,6.03E-02
17.417,4.91E-02
17.451,3.68E-02
17.485,2.56E-02
17.518,1.15E-02
17.552,-1.53E-03
17.586,-1.49E-02
17.62,-2.67E-02
17.653,-4.02E-02
17.687,-5.19E-02
17.721,-6.20E-02
17.755,-7.16E-02
17.789,-8.04E-02
17.822,-8.72E-02
17.856,-9.20E-02
17.89,-9.53E-02
17.924,-9.69E-02
17.957,-9.71E-02
17.991,-9.57E-02
18.025,-9.28E-02
18.059,-8.81E-02
18.092,-8.20E-02
18.126,-7.30E-02
18.16,-6.43E-02
18.194,-5.41E-02
18.227,-4.32E-02
18.261,-3.09E-02
18.295,-1.99E-02
18.329,-8.32E-03
18.362,3.91E-03
18.396,1.63E-02
18.43,2.72E-02
18.464,3.92E-02
18.497,4.97E-02
18.531,5.94E-02
18.565,6.74E-02
18.599,7.48E-02
18.632,8.11E-02
18.666,8.61E-02
18.7,8.99E-02
18.734,9.20E-02
18.767,9.24E-02
18.801,9.16E-02
18.835,8.91E-02
18.869,8.53E-02
18.902,8.01E-02
18.936,7.37E-02
18.97,6.64E-02
19.004,5.75E-02
19.037,4.75E-02
19.071,3.66E-02
19.105,2.48E-02
19.139,1.41E-02
19.172,8.46E-04
19.206,-1.08E-02
19.24,-2.29E-02
19.274,-3.39E-02
19.307,-4.42E-02
19.341,-5.48E-02
19.375,-6.31E-02
19.409,-7.17E-02
19.442,-7.77E-02
19.476,-8.23E-02
19.51,-8.59E-02
19.544,-8.80E-02
19.577,-8.86E-02
19.611,-8.74E-02
19.645,-8.49E-02
19.679,-8.11E-02
19.712,-7.46E-02
19.746,-6.81E-02
19.78,-6.05E-02
19.814,-5.19E-02
19.848,-4.21E-02
19.881,-3.15E-02
19.915,-1.98E-02
19.949,-9.79E-03
19.983,1.09E-03
20.016,1.25E-02
20.05,2.38E-02
20.084,3.37E-02
20.118,4.29E-02
20.151,5.21E-02
20.185,6.05E-02
20.219,6.69E-02
20.253,7.27E-02
20.286,7.74E-02
20.32,8.08E-02
20.354,8.26E-02
20.388,8.35E-02
20.421,8.30E-02
20.455,8.13E-02
20.489,7.79E-02
20.523,7.35E-02
20.556,6.77E-02
20.59,6.10E-02
20.624,5.31E-02
20.658,4.41E-02
20.691,3.43E-02
20.725,2.39E-02
20.759,1.42E-02
20.793,2.53E-03
20.826,-8.27E-03
20.86,-1.91E-02
20.894,-2.87E-02
20.928,-3.94E-02
20.961,-4.88E-02
20.995,-5.77E-02
21.029,-6.44E-02
21.063,-7.11E-02
21.096,-7.59E-02
21.13,-7.94E-02
21.164,-8.16E-02
21.198,-8.21E-02
21.231,-8.17E-02
21.265,-7.96E-02
21.299,-7.53E-02
21.333,-7.10E-02
21.366,-6.52E-02
21.4,-5.84E-02
21.434,-4.91E-02
21.468,-4.06E-02
21.501,-3.09E-02
21.535,-2.10E-02
21.569,-1.15E-02
21.603,-3.56E-04
21.636,9.68E-03
21.67,1.99E-02
21.704,2.94E-02
21.738,3.85E-02
21.772,4.69E-02
21.805,5.45E-02
21.839,6.10E-02
21.873,6.63E-02
21.907,7.06E-02
21.94,7.39E-02
21.974,7.57E-02
22.008,7.69E-02
22.042,7.67E-02
22.075,7.50E-02
22.109,7.20E-02
22.143,6.80E-02
22.177,6.28E-02
22.21,5.62E-02
22.244,4.91E-02
22.278,4.12E-02
22.312,3.29E-02
22.345,2.35E-02
22.379,1.39E-02
22.413,3.97E-03
22.447,-6.05E-03
22.48,-1.60E-02
22.514,-2.60E-02
22.548,-3.51E-02
22.582,-4.38E-02
22.615,-5.15E-02
22.649,-5.82E-02
22.683,-6.43E-02
22.717,-6.89E-02
22.75,-7.24E-02
22.784,-7.50E-02
22.818,-7.55E-02
22.852,-7.53E-02
22.885,-7.37E-02
22.919,-7.08E-02
22.953,-6.65E-02
22.987,-6.12E-02
23.02,-5.48E-02
23.054,-4.73E-02
23.088,-3.92E-02
23.122,-3.05E-02
23.155,-2.11E-02
23.189,-1.17E-02
23.223,-2.51E-03
23.257,7.21E-03
23.29,1.69E-02
23.324,2.57E-02
23.358,3.39E-02
23.392,4.17E-02
23.425,4.87E-02
23.459,5.48E-02
23.493,6.01E-02
23.527,6.44E-02
23.56,6.76E-02
23.594,6.95E-02
23.628,7.04E-02
23.662,7.01E-02
23.695,6.88E-02
23.729,6.60E-02
23.763,6.20E-02
23.797,5.73E-02
23.831,5.15E-02
23.864,4.47E-02
23.898,3.73E-02
23.932,2.91E-02
23.966,2.06E-02
23.999,1.18E-02
24.033,2.86E-03
24.067,-6.45E-03
24.101,-1.55E-02
24.134,-2.41E-02
24.168,-3.25E-02
24.202,-4.05E-02
24.236,-4.77E-02
24.269,-5.40E-02
24.303,-5.96E-02
24.337,-6.34E-02
24.371,-6.73E-02
24.404,-6.90E-02
24.438,-7.00E-02
24.472,-7.02E-02
24.506,-6.86E-02
24.539,-6.61E-02
24.573,-6.24E-02
24.607,-5.75E-02
24.641,-5.18E-02
24.674,-4.50E-02
24.708,-3.75E-02
24.742,-2.97E-02
24.776,-2.11E-02
24.809,-1.23E-02
24.843,-3.34E-03
24.877,5.98E-03
24.911,1.44E-02
24.944,2.30E-02
24.978,3.10E-02
25.012,3.85E-02
25.046,4.52E-02
25.079,5.11E-02
25.113,5.61E-02
25.147,6.04E-02
25.181,6.34E-02
25.214,6.55E-02
25.248,6.64E-02
25.282,6.63E-02
25.316,6.48E-02
25.349,6.23E-02
25.383,5.89E-02
25.417,5.43E-02
25.451,4.88E-02
25.484,4.26E-02
25.518,3.58E-02
25.552,2.84E-02
25.586,2.04E-02
25.619,1.22E-02
25.653,4.01E-03
25.687,-4.81E-03
25.721,-1.28E-02
25.755,-2.09E-02
25.788,-2.84E-02
25.822,-3.63E-02
25.856,-4.24E-02
25.89,-4.82E-02
25.923,-5.40E-02
25.957,-5.78E-02
25.991,-6.11E-02
26.025,-6.33E-02
26.058,-6.42E-02
26.092,-6.46E-02
26.126,-6.34E-02
26.16,-6.12E-02
26.193,-5.78E-02
